日期,钻石(细支荷花),钻石(荷花),中南海(软精品),中南海(京韵细支烤烟),中南海(金8mg),中南海(典8),中南海(5mg细支),中华(硬),中华(双中支),中华(软),中华(金中支),真龙(凌云),长城(醇雅奶香),长城(醇雅薄荷),长白山(迎春中支),长白山(软红),长白山(红),长白山(777),云烟(紫),云烟(小熊猫家园),云烟(细支珍品),云烟(细支大重九),云烟(软紫),云烟(软珍品),云烟(软大重九),玉溪(中支和谐),玉溪(细支清香世家),玉溪(细支阿诗玛),玉溪(软红人民大会堂),玉溪(软),玉溪(高配版),玉溪(108),王冠(原味9号塑嘴十支),王冠(原味1号),王冠(塑2支全叶卷),王冠(梅兰竹菊),万宝路(软红2.0),土楼(1575),泰山(心悦),泰山(宏图),泰山(红将军),苏烟(五星红杉树),苏烟(软金砂),苏烟(沉香),双喜(软国际),石狮(平安),三沙(细支),人民大会堂(御廷兰香),人民大会堂(硬红细支),人民大会堂(硬红),人民大会堂(太和),人民大会堂(兰香细支),人民大会堂(红玫瑰细支),人民大会堂(古瓷细支),人民大会堂(大生产振兴),七匹狼(金砖中支),七匹狼(金砖时代),七匹狼(金砂),七匹狼(金),七匹狼(豪情),七匹狼(白),南京(雨花石),南京(炫赫门),南京(细支九五),南京(十二钗烤烟),南京(十二钗薄荷),南京(软九五),南京(九五),南京(红),牡丹(软蓝),牡丹(软),牡丹(金细支),牡丹(金短支),庐山(精品),利群(长嘴),利群(夜西湖),利群(新版),利群(西子阳光),利群(西湖恋),利群(软长嘴),利群(软蓝),兰州(硬精品),金圣(硬滕王阁),金圣(滕王阁紫光),娇子(X),将军(战神),建牌(薄荷中空4),黄山(中国画细支),黄山(硬记忆),黄山(印象一品),黄山(新一品),黄山(软一品),黄山(记忆),黄山(徽商新概念细支),黄山(红方印细支),黄山(大红方印),黄金叶(小目标),黄金叶(喜满堂),黄金叶(天叶),黄金叶(天香细支),黄金叶(金满堂),黄鹤楼(硬银紫),黄鹤楼(硬雅韵),黄鹤楼(硬峡谷柔情),黄鹤楼(硬峡谷情细支),黄鹤楼(硬峡谷情),黄鹤楼(硬天下胜景),黄鹤楼(硬平安),黄鹤楼(硬金砂),黄鹤楼(硬1916),黄鹤楼(雪之景9号),黄鹤楼(雪之景3号),黄鹤楼(雪之景2号),黄鹤楼(天下名楼),黄鹤楼(软蓝),黄鹤楼(软鸿运),黄果树(长征),红塔山(硬经典100),红塔山(硬传奇),红塔山(新时代),红塔山(软经典),红双喜(硬上海),红双喜(软),红双喜(南洋经典),红旗渠(芒果),红梅(软顺),红梅(软黄),红金龙(硬蓝爱你),红金龙(硬爱你爆珠),红河(硬),红河(软88),好猫(金丝猴),哈德门(精品),哈德门(金典),贵烟(跨越),贵烟(金百合),贵烟(国酒香30),贵烟(萃),芙蓉王(硬细支),芙蓉王(硬闪带细支),芙蓉王(硬领航),芙蓉王(硬蓝细支),芙蓉王(硬),凤凰(细支),钓鱼台(中支),大前门(硬),大前门(短支),白沙(硬新精品二代),白沙(硬细支和天下),白沙(硬天天向上细支),白沙(软),白沙(绿和),白沙(和天下),爱喜(幻变),555金　锐,555(星空细支),555(冰炫),云烟(细支云龙),泰山(红将二代)
20170101,0,0,1604,0,10252,0,0,13480,0,9802,0,2699,0,0,0,32157,54834,15743,12269,0,0,0,8055,5062,224,0,240,0,70234,39214,0,0,0,0,0,0,0,0,4556,53204,12631,54,0,44,0,0,0,82,8811,42970,0,688,0,1182,0,0,0,4043,9526,0,32385,10289,48439,0,39437,9289,400,70,27042,476,815,0,0,0,2936,0,34471,2776,3116,2631,3029,9368,0,0,7128,0,0,0,0,0,0,26942,2958,0,1002,791,0,8832,2073,1868,16138,1293,13282,897,867,2699,0,787,52999,2250,0,0,0,95700,45655,45203,0,9394,0,0,61686,553,5465,0,0,0,0,42360,6266,21297,17031,0,0,0,1958,0,193,0,0,0,0,0,9053,253,0,0,540,0,63,904,0,8667,396,0,3487,0,0,0,0
20170102,0,0,1828,0,30943,0,0,6712,0,9136,0,3194,0,0,0,33797,47617,14827,17050,0,0,0,16307,5372,220,0,650,0,51545,46620,0,0,0,0,0,0,0,0,6488,7414,19435,7670,0,148,0,0,0,96,12075,73778,0,242,0,688,0,0,0,4399,19686,0,33787,8535,37815,0,32093,5982,0,210,49214,305,839,0,0,0,7022,0,31501,618,3817,779,5485,0,0,0,6696,0,0,0,0,0,0,36229,3394,0,1280,1087,0,10902,2180,1802,20006,1534,26411,921,924,2665,0,678,47743,2402,0,0,0,63386,40114,31625,0,12729,0,0,77676,811,6293,0,0,0,0,28313,7216,25191,22775,0,0,0,1189,0,198,0,0,0,0,0,11045,208,0,0,661,0,27,1053,0,13753,511,0,2091,0,0,0,0
20170103,2277,0,1024,0,12316,0,0,9490,0,7676,0,2631,0,0,0,25602,42411,14130,13355,0,0,0,15053,2868,414,0,1290,0,70819,28343,0,0,0,0,0,0,0,0,4181,48621,9309,13792,3971,0,0,0,0,204,13102,47722,0,260,0,1610,0,0,0,4582,10836,0,38950,7730,33133,0,26977,6996,50,143,29434,412,885,0,0,0,4050,0,30069,1199,2850,664,2632,0,0,0,7489,0,0,0,0,0,0,25187,2572,0,1173,620,0,10790,1169,955,11203,1318,17134,632,632,1372,0,443,39418,2143,0,0,0,62898,49360,25312,0,9470,0,0,50388,2786,4057,0,0,0,0,29077,7164,18982,16050,0,0,0,2102,0,151,0,0,0,0,0,6063,103,0,0,418,0,32,963,0,9977,445,0,2074,0,0,0,0
20170104,2420,0,1746,0,21216,0,0,9881,0,8330,0,2437,0,0,0,46028,52892,13542,12975,0,0,0,19190,4253,564,0,150,0,98293,37952,0,0,0,0,0,0,0,0,4236,0,14979,3340,5796,290,0,0,0,104,8707,42281,0,282,0,897,0,0,0,4375,17592,0,26534,12179,41901,0,38765,7270,0,180,63972,268,887,0,0,0,3678,0,48347,1635,4497,1264,6271,0,0,0,10793,0,0,0,0,0,0,25801,2632,0,1316,1147,0,9127,877,810,17663,1392,14112,499,505,956,0,173,28935,718,0,0,0,104000,14336,46627,0,13990,0,0,52358,482,0,0,0,0,0,30765,1703,25733,25709,0,0,0,1455,0,59,0,0,0,0,0,8621,149,0,0,515,0,7,764,0,13460,693,0,2410,0,0,0,0
20170105,2741,0,2027,0,29543,0,0,6093,0,4860,0,2550,0,0,0,28074,44289,10267,13029,0,0,0,12987,5296,570,0,290,0,60636,41242,0,0,0,0,0,0,0,0,4632,5856,8712,5335,2128,509,0,0,0,0,14934,61750,0,100,0,1076,0,0,0,0,11637,0,36041,7892,36109,0,34251,6248,50,402,33954,228,869,0,0,0,4451,0,37003,1095,3628,609,2064,0,0,0,8191,0,0,0,0,0,0,28548,2800,0,1210,0,0,10396,765,682,21862,1189,10823,655,434,994,0,227,29763,1400,0,0,0,56306,52085,20412,0,11060,0,0,80221,2448,0,0,0,0,0,29790,0,32406,19553,0,0,0,2208,0,56,0,0,0,0,0,13300,142,0,0,0,0,29,518,0,12257,837,0,2887,0,0,0,0
20170106,2625,0,946,0,22783,0,0,7371,0,2190,0,2521,0,0,0,33502,40065,14459,12342,0,0,0,10558,5357,96,0,240,0,29045,42786,0,0,0,0,0,0,0,0,3183,18213,23158,6778,13201,0,21714,0,0,165,6984,41823,0,770,0,1155,0,0,0,0,17070,10069,36286,15199,46204,0,42679,9886,405,471,22404,354,5087,0,0,0,2287,0,34130,1611,1676,829,1553,0,0,0,10344,0,0,0,0,0,0,29750,2600,0,1938,0,0,6346,458,72,18896,1149,12576,1018,987,582,0,1421,12836,1444,0,0,0,34816,21717,12231,10205,10697,0,0,64212,6618,0,0,0,0,0,45757,0,37750,14537,0,0,0,361,0,228,0,0,0,0,0,32577,1046,0,0,0,0,518,4109,0,13999,1202,0,2513,0,0,0,0
20170107,2653,0,969,0,19497,0,0,3536,0,0,0,1565,0,0,0,32703,42336,15547,21707,0,0,0,13025,4477,81,0,650,0,36860,42107,0,0,0,0,0,0,0,0,2256,21279,6199,3751,3640,215,21914,0,0,0,10448,37524,0,382,0,511,0,0,0,2803,15428,9898,46762,9891,44670,645,26473,4510,645,132,31905,328,6123,0,0,0,5270,0,39654,336,2408,310,1382,0,0,0,6515,0,0,0,0,0,0,26974,3097,0,2160,0,0,7111,785,95,18556,1275,12827,852,931,2250,0,1304,14538,1806,0,0,0,35240,25295,10807,10051,9189,0,0,53756,7985,0,0,0,0,0,38071,0,22560,25862,0,0,0,274,0,708,0,0,0,0,0,7687,836,0,0,0,0,92,3566,0,11753,1384,0,1648,0,0,0,0
20170108,3113,0,1306,0,14299,0,0,4140,0,0,0,2050,0,0,0,20517,32614,11447,19085,0,0,0,9388,3103,52,0,1346,0,36491,33114,0,0,0,0,0,0,0,0,2985,16255,7190,9252,10738,0,13891,0,0,90,6768,38350,0,40,0,377,0,0,0,3502,8110,10662,30051,10182,42037,1110,24272,3887,1110,572,20462,308,4582,0,0,0,1773,0,25361,1529,3039,193,1284,13772,0,0,6576,0,0,0,0,0,0,23416,2017,0,1912,0,0,7276,360,33,13073,1030,15362,823,803,2696,0,1674,14444,1853,0,0,0,33802,28755,14909,10615,8582,0,0,42798,7319,0,0,0,0,0,39741,2046,20821,15398,0,0,0,393,0,415,0,0,0,0,0,19684,412,0,0,0,0,296,3307,0,10225,841,0,1285,0,0,0,0
20170109,1770,0,1304,0,16079,0,0,6041,0,7271,0,2208,0,0,0,22500,48297,16205,14013,0,0,0,10641,4387,89,0,330,0,18834,36306,0,0,0,0,0,0,0,0,2313,56216,9126,2855,5094,0,22457,0,0,60,10378,37026,0,328,0,816,0,0,0,4357,20262,10905,27022,4855,46693,0,23275,2978,0,75,25947,452,3582,0,0,0,3272,0,48312,1171,2901,497,1688,24524,0,0,6707,0,0,0,0,0,0,21938,2617,0,2161,0,0,7765,852,58,16461,1226,11315,961,709,1988,0,1929,18992,1929,0,0,0,84713,35879,19602,10870,10424,0,0,49988,7133,0,0,0,0,0,41713,7458,28188,16019,0,0,0,490,0,75,0,0,0,0,0,31960,612,0,0,0,0,117,3536,0,20492,568,0,2522,0,0,0,0
20170110,1842,0,1625,0,15777,0,0,5279,0,7630,0,2015,0,0,0,25386,56402,14259,16418,0,0,0,10815,3691,54,0,290,0,18686,34272,0,0,0,0,0,0,0,0,6093,33382,7897,1463,4342,254,20681,0,0,0,9995,58028,0,200,0,1214,0,0,0,4880,11668,10707,51061,6024,41163,30,32172,5645,50,265,43342,208,7514,0,0,0,2656,0,43122,624,2467,465,1735,33050,0,0,9429,0,0,0,0,0,0,33933,2897,0,2246,0,0,8018,331,46,4888,1562,4917,673,867,772,0,1100,16029,1241,0,0,0,27740,21303,10101,10927,12432,0,0,62052,9016,0,0,0,0,0,40260,6422,29430,24568,0,0,0,333,0,112,0,0,0,0,0,66360,580,0,0,0,0,155,3328,0,10039,1146,0,2358,0,0,0,0
