日期,钻石(细支荷花),钻石(荷花),中南海(软精品),中南海(京韵细支烤烟),中南海(金8mg),中南海(典8),中南海(5mg细支),中华(硬),中华(双中支),中华(软),中华(金中支),真龙(凌云),长城(醇雅奶香),长城(醇雅薄荷),长白山(迎春中支),长白山(软红),长白山(红),长白山(777),云烟(紫),云烟(小熊猫家园),云烟(细支珍品),云烟(细支大重九),云烟(软紫),云烟(软珍品),云烟(软大重九),玉溪(中支和谐),玉溪(细支清香世家),玉溪(细支阿诗玛),玉溪(软红人民大会堂),玉溪(软),玉溪(高配版),玉溪(108),王冠(原味9号塑嘴十支),王冠(原味1号),王冠(塑2支全叶卷),王冠(梅兰竹菊),万宝路(软红2.0),土楼(1575),泰山(心悦),泰山(宏图),泰山(红将军),苏烟(五星红杉树),苏烟(软金砂),苏烟(沉香),双喜(软国际),石狮(平安),三沙(细支),人民大会堂(御廷兰香),人民大会堂(硬红细支),人民大会堂(硬红),人民大会堂(太和),人民大会堂(兰香细支),人民大会堂(红玫瑰细支),人民大会堂(古瓷细支),人民大会堂(大生产振兴),七匹狼(金砖中支),七匹狼(金砖时代),七匹狼(金砂),七匹狼(金),七匹狼(豪情),七匹狼(白),南京(雨花石),南京(炫赫门),南京(细支九五),南京(十二钗烤烟),南京(十二钗薄荷),南京(软九五),南京(九五),南京(红),牡丹(软蓝),牡丹(软),牡丹(金细支),牡丹(金短支),庐山(精品),利群(长嘴),利群(夜西湖),利群(新版),利群(西子阳光),利群(西湖恋),利群(软长嘴),利群(软蓝),兰州(硬精品),金圣(硬滕王阁),金圣(滕王阁紫光),娇子(X),将军(战神),建牌(薄荷中空4),黄山(中国画细支),黄山(硬记忆),黄山(印象一品),黄山(新一品),黄山(软一品),黄山(记忆),黄山(徽商新概念细支),黄山(红方印细支),黄山(大红方印),黄金叶(小目标),黄金叶(喜满堂),黄金叶(天叶),黄金叶(天香细支),黄金叶(金满堂),黄鹤楼(硬银紫),黄鹤楼(硬雅韵),黄鹤楼(硬峡谷柔情),黄鹤楼(硬峡谷情细支),黄鹤楼(硬峡谷情),黄鹤楼(硬天下胜景),黄鹤楼(硬平安),黄鹤楼(硬金砂),黄鹤楼(硬1916),黄鹤楼(雪之景9号),黄鹤楼(雪之景3号),黄鹤楼(雪之景2号),黄鹤楼(天下名楼),黄鹤楼(软蓝),黄鹤楼(软鸿运),黄果树(长征),红塔山(硬经典100),红塔山(硬传奇),红塔山(新时代),红塔山(软经典),红双喜(硬上海),红双喜(软),红双喜(南洋经典),红旗渠(芒果),红梅(软顺),红梅(软黄),红金龙(硬蓝爱你),红金龙(硬爱你爆珠),红河(硬),红河(软88),好猫(金丝猴),哈德门(精品),哈德门(金典),贵烟(跨越),贵烟(金百合),贵烟(国酒香30),贵烟(萃),芙蓉王(硬细支),芙蓉王(硬闪带细支),芙蓉王(硬领航),芙蓉王(硬蓝细支),芙蓉王(硬),凤凰(细支),钓鱼台(中支),大前门(硬),大前门(短支),白沙(硬新精品二代),白沙(硬细支和天下),白沙(硬天天向上细支),白沙(软),白沙(绿和),白沙(和天下),爱喜(幻变),555金　锐,555(星空细支),555(冰炫),云烟(细支云龙),泰山(红将二代)
20170101,0,0,92,0,971,0,0,984,0,797,0,130,0,0,0,2924,4651,1063,859,0,0,0,692,318,40,0,109,0,4897,4400,0,0,0,0,0,0,0,0,261,1746,662,1,0,4,0,0,0,7,676,5844,0,47,0,39,0,0,0,358,996,0,2664,523,10058,0,2499,171,20,18,2146,88,366,0,0,0,186,0,4644,106,196,88,124,1361,0,0,644,0,0,0,0,0,0,2479,211,0,130,39,0,591,284,247,1347,384,990,148,133,403,0,97,2360,282,0,0,0,5266,3245,1980,0,994,0,0,6394,14,199,0,0,0,0,10116,339,1723,1721,0,0,0,138,0,42,0,0,0,0,0,682,45,0,0,178,0,15,132,0,990,106,0,133,0,0,0,0
20170102,0,0,58,0,1503,0,0,911,0,799,0,147,0,0,0,2949,5071,844,1257,0,0,0,951,269,36,0,30,0,4330,4154,0,0,0,0,0,0,0,0,235,457,568,199,0,23,0,0,0,9,694,7501,0,9,0,28,0,0,0,318,1265,0,3599,339,9555,0,2199,319,0,15,2694,49,355,0,0,0,202,0,4904,37,154,43,139,0,0,0,577,0,0,0,0,0,0,2881,139,0,110,36,0,587,273,214,1317,391,1112,128,123,331,0,97,2212,279,0,0,0,4274,2810,1594,0,1010,0,0,7802,26,261,0,0,0,0,9846,464,2622,2181,0,0,0,134,0,31,0,0,0,0,0,578,24,0,0,171,0,9,129,0,982,88,0,99,0,0,0,0
20170103,362,0,56,0,1181,0,0,724,0,620,0,124,0,0,0,3067,4840,790,966,0,0,0,905,211,136,0,108,0,4686,3792,0,0,0,0,0,0,0,0,204,1887,645,261,135,0,0,0,0,7,798,6136,0,18,0,50,0,0,0,322,895,0,3337,296,8673,0,2091,375,5,14,3097,67,320,0,0,0,151,0,4645,44,168,38,101,0,0,0,629,0,0,0,0,0,0,2753,159,0,91,39,0,676,225,182,1432,318,1421,107,103,285,0,76,1825,286,0,0,0,4102,3187,1448,0,1001,0,0,7168,105,185,0,0,0,0,9079,394,2109,1778,0,0,0,146,0,29,0,0,0,0,0,502,21,0,0,139,0,8,111,0,936,121,0,102,0,0,0,0
20170104,374,0,81,0,1427,0,0,815,0,655,0,137,0,0,0,3979,7273,1012,913,0,0,0,1101,281,153,0,50,0,5815,4635,0,0,0,0,0,0,0,0,273,0,829,250,169,39,0,0,0,4,725,6075,0,14,0,30,0,0,0,334,1306,0,2940,496,8908,0,2056,355,0,25,2492,56,375,0,0,0,241,0,6918,62,174,39,196,0,0,0,803,0,0,0,0,0,0,3311,164,0,108,41,0,673,181,148,1632,417,672,96,95,230,0,56,2215,200,0,0,0,3589,1002,2135,0,1154,0,0,7730,23,0,0,0,0,0,9529,53,2724,2127,0,0,0,125,0,21,0,0,0,0,0,627,27,0,0,159,0,5,121,0,1343,163,0,134,0,0,0,0
20170105,456,0,89,0,1662,0,0,809,0,712,0,116,0,0,0,3606,5731,894,905,0,0,0,776,377,191,0,102,0,4582,4367,0,0,0,0,0,0,0,0,249,1336,552,202,111,54,0,0,0,0,673,5744,0,20,0,31,0,0,0,0,923,0,3536,301,9038,0,2197,381,5,46,2660,57,341,0,0,0,240,0,6551,62,153,27,120,0,0,0,877,0,0,0,0,0,0,3035,171,0,113,0,0,560,213,187,1525,396,1049,119,114,280,0,85,1939,326,0,0,0,4335,3219,1959,0,1166,0,0,8094,106,0,0,0,0,0,9399,0,2432,2177,0,0,0,154,0,32,0,0,0,0,0,720,29,0,0,0,0,12,120,0,1347,218,0,132,0,0,0,0
20170106,503,0,39,0,1119,0,0,995,0,300,0,110,0,0,0,2651,4274,756,766,0,0,0,575,197,23,0,100,0,1580,3340,0,0,0,0,0,0,0,0,203,811,784,257,532,0,2096,0,0,13,465,3754,0,25,0,21,0,0,0,0,980,2120,2948,558,10617,0,2247,506,20,81,1748,60,492,0,0,0,90,0,3766,55,103,27,85,0,0,0,545,0,0,0,0,0,0,2674,126,0,149,0,0,413,112,34,1152,189,706,262,188,88,0,364,953,323,0,0,0,2030,1491,826,3598,886,0,0,6001,598,0,0,0,0,0,10894,0,1953,1504,0,0,0,37,0,26,0,0,0,0,0,964,174,0,0,0,0,35,435,0,1034,95,0,118,0,0,0,0
20170107,418,0,48,0,987,0,0,543,0,0,0,65,0,0,0,2459,4070,615,910,0,0,0,616,180,20,0,30,0,890,2923,0,0,0,0,0,0,0,0,125,587,362,138,206,20,1877,0,0,0,316,3331,0,26,0,14,0,0,0,124,892,2327,2584,420,9991,15,1180,207,15,12,1760,54,595,0,0,0,104,0,3883,8,106,10,45,0,0,0,393,0,0,0,0,0,0,2067,85,0,147,0,0,356,99,22,894,180,730,185,128,111,0,315,839,339,0,0,0,1791,1268,583,4015,654,0,0,5344,540,0,0,0,0,0,10261,0,1766,1507,0,0,0,43,0,32,0,0,0,0,0,379,93,0,0,0,0,9,388,0,657,141,0,61,0,0,0,0
20170108,429,0,32,0,852,0,0,557,0,0,0,61,0,0,0,1939,3722,611,686,0,0,0,514,141,18,0,84,0,1264,2427,0,0,0,0,0,0,0,0,119,771,363,124,344,0,2039,0,0,2,297,2952,0,5,0,10,0,0,0,222,624,2282,1928,245,10517,18,940,195,20,23,1359,60,539,0,0,0,78,0,2852,44,120,4,48,927,0,0,308,0,0,0,0,0,0,1950,101,0,116,0,0,343,91,23,876,167,858,206,154,215,0,284,715,323,0,0,0,1599,1346,608,4354,715,0,0,4758,565,0,0,0,0,0,10717,62,1479,1044,0,0,0,44,0,44,0,0,0,0,0,692,81,0,0,0,0,55,356,0,692,81,0,51,0,0,0,0
20170109,413,0,51,0,911,0,0,429,0,181,0,72,0,0,0,2162,4424,699,701,0,0,0,644,193,18,0,40,0,871,2610,0,0,0,0,0,0,0,0,130,1382,419,104,159,0,2498,0,0,6,364,3372,0,27,0,46,0,0,0,295,779,2391,1938,206,10864,0,800,156,0,7,1461,48,550,0,0,0,140,0,4222,50,106,20,72,2116,0,0,506,0,0,0,0,0,0,2051,99,0,125,0,0,408,106,25,946,234,487,216,160,160,0,356,1212,327,0,0,0,1794,3681,1134,4372,690,0,0,4574,474,0,0,0,0,0,11853,395,1526,1240,0,0,0,40,0,40,0,0,0,0,0,728,108,0,0,0,0,54,399,0,861,58,0,98,0,0,0,0
20170110,404,0,63,0,1106,0,0,650,0,1019,0,68,0,0,0,2609,4657,737,692,0,0,0,532,196,19,0,80,0,1183,2819,0,0,0,0,0,0,0,0,179,1879,427,57,565,9,2585,0,0,0,406,4411,0,20,0,36,0,0,0,371,671,2222,2935,348,11162,3,1262,191,5,25,2127,51,646,0,0,0,101,0,4298,44,103,7,78,2395,0,0,509,0,0,0,0,0,0,2260,102,0,145,0,0,400,97,31,141,207,979,194,145,100,0,290,757,342,0,0,0,1570,1076,665,5049,791,0,0,6244,637,0,0,0,0,0,11644,395,1944,1665,0,0,0,15,0,52,0,0,0,0,0,1376,113,0,0,0,0,72,420,0,816,145,0,101,0,0,0,0
